"id","tconst.x","primaryTitle","isAdult","rel_date","startYear","genres","tconst.y","averageRating","numVotes"
2659,"tt0371746","Iron Man","0","2008-04-30","2008","Action,Adventure,Sci-Fi","tt0371746",7.9,1130455
2660,"tt1228705","Iron Man 2","0","2010-04-28","2010","Action,Sci-Fi","tt1228705",6.9,872714
2661,"tt1300854","Iron Man 3","0","2013-04-18","2013","Action,Adventure,Sci-Fi","tt1300854",7.1,903144
4879,"tt0096251","Tetsuo: The Iron Man","0","1989-07-01","1989","Horror,Sci-Fi","tt0096251",6.9,26121
