"id","tconst.x","primaryTitle","isAdult","rel_date","startYear","genres","tconst.y","directors","writers"
2659,"tt0371746","Iron Man","0","2008-04-30","2008","Action,Adventure,Sci-Fi","tt0371746","nm0269463","nm1318843,nm1319757,nm1436466,nm0391344,nm0498278,nm1411347,nm1293367,nm0456158"
2660,"tt1228705","Iron Man 2","0","2010-04-28","2010","Action,Sci-Fi","tt1228705","nm0269463","nm0857620,nm0498278,nm1411347,nm1293367,nm0456158"
2661,"tt1300854","Iron Man 3","0","2013-04-18","2013","Action,Adventure,Sci-Fi","tt1300854","nm0000948","nm1510800,nm0000948,nm0498278,nm1411347,nm1293367,nm0456158,nm1979137,nm2137463"
4879,"tt0096251","Tetsuo: The Iron Man","0","1989-07-01","1989","Horror,Sci-Fi","tt0096251","nm0875354","nm0875354"
