"id","directors"
3449,"nm0000406"
4165,"nm0029049"
4196,"nm0744023"
4566,"nm0287836"
4566,"nm0414144"
6110,"nm0000080"
5024,"nm0467396"
762,"nm0003836"
762,"nm0696247"
773,"nm0782947"
1333,"nm0202681"
2042,"nm0455741"
2042,"nm0527217"
2042,"nm0605093"
2042,"nm0730860"
2088,"nm0744023"
393,"nm0466099"
3321,"nm0780833"
3362,"nm0000122"
3171,"nm0163229"
6372,"nm0802563"
6504,"nm0950662"
4628,"nm0017893"
576,"nm0461497"
215,"nm0059106"
215,"nm0487237"
425,"nm0245213"
3984,"nm0002175"
3984,"nm0005674"
3984,"nm0294094"
3984,"nm0806692"
1963,"nm0000406"
2169,"nm0564970"
2668,"nm0572851"
2825,"nm0001379"
712,"nm0001120"
5596,"nm0000080"
3265,"nm0314671"
3265,"nm0414144"
3265,"nm0455741"
3265,"nm0527217"
3347,"nm0064415"
6176,"nm0001379"
6462,"nm0946391"
1612,"nm0000041"
4918,"nm0019282"
4918,"nm0314671"
4918,"nm0455741"
329,"nm0744035"
2945,"nm0654868"
5035,"nm0490950"
2124,"nm0041642"
2186,"nm0004573"
2726,"nm0548529"
2852,"nm0357607"
3145,"nm0591486"
3303,"nm0774325"
3646,"nm0002045"
3646,"nm0000037"
3700,"nm0168413"
4064,"nm0066247"
4398,"nm0000406"
6153,"nm0715346"
326,"nm0004454"
315,"nm0000581"
5380,"nm0167496"
4957,"nm0001379"
1331,"nm0226189"
5165,"nm0744185"
2225,"nm0507390"
2561,"nm0712947"
1462,"nm0000975"
2860,"nm0071682"
2860,"nm0554249"
3548,"nm0202088"
6295,"nm0000320"
4034,"nm0000041"
4758,"nm0000697"
6810,"nm0542649"
4926,"nm0001379"
1670,"nm0945428"
388,"nm0591486"
235,"nm0000697"
5208,"nm0936404"
2056,"nm0494110"
3062,"nm0792605"
172,"nm0828419"
5936,"nm0521334"
3997,"nm0503777"
3997,"nm0542649"
858,"nm0455839"
4714,"nm0000033"
4889,"nm0907779"
6152,"nm0638528"
6152,"nm0001328"
4973,"nm0591486"
956,"nm0110505"
1835,"nm0172485"
5423,"nm0001124"
2550,"nm0000041"
3190,"nm0656528"
3447,"nm0467396"
5788,"nm0542649"
4466,"nm0002045"
4466,"nm0000037"
6358,"nm0041678"
6528,"nm0001120"
6642,"nm0001415"
6752,"nm0113284"
4977,"nm0591486"
5012,"nm0000485"
1851,"nm0000040"
2031,"nm0003593"
2084,"nm0001328"
2413,"nm0268513"
2462,"nm0211964"
2506,"nm0000033"
5631,"nm0704841"
3578,"nm0071657"
3835,"nm0002087"
4057,"nm0319241"
5996,"nm0467396"
4191,"nm0943758"
6228,"nm0167241"
4755,"nm0000005"
6397,"nm0654868"
6521,"nm0003226"
3361,"nm0004244"
2760,"nm0744023"
6233,"nm0005738"
37,"nm0281507"
3953,"nm0525544"
5088,"nm0229424"
1259,"nm0000791"
1458,"nm0167241"
1459,"nm0000033"
1545,"nm0819806"
395,"nm0357891"
2749,"nm0712947"
3647,"nm0001415"
1850,"nm0744023"
4049,"nm0000033"
3986,"nm0238810"
4268,"nm0003226"
4354,"nm0002045"
4359,"nm0000041"
6304,"nm0235066"
6769,"nm0002031"
327,"nm0802862"
419,"nm0060742"
419,"nm0354691"
567,"nm0836328"
653,"nm0500552"
653,"nm0861703"
679,"nm0200877"
6238,"nm0505610"
5277,"nm0229424"
1972,"nm0678928"
2116,"nm0591142"
2229,"nm0000581"
2868,"nm0000736"
2919,"nm0314671"
2919,"nm0414144"
2919,"nm0527217"
2919,"nm0194018"
5712,"nm0542649"
5810,"nm0001452"
3634,"nm0003593"
3778,"nm0006249"
4052,"nm0712947"
4531,"nm0462163"
6053,"nm0000697"
4473,"nm0548094"
4512,"nm0000005"
4757,"nm0000180"
6385,"nm0000033"
6414,"nm0623401"
6704,"nm0002031"
5067,"nm0710924"
5438,"nm0890480"
2122,"nm0828419"
2142,"nm0124877"
5581,"nm0000040"
3416,"nm0952646"
6064,"nm0548189"
5945,"nm0346436"
5957,"nm0030917"
6036,"nm0000406"
6672,"nm0896542"
6860,"nm0802862"
15,"nm0001486"
5071,"nm0000180"
5185,"nm0279807"
5279,"nm0694090"
2350,"nm0290371"
2227,"nm0836328"
5549,"nm0388913"
6351,"nm0000041"
5171,"nm0435563"
3101,"nm0000697"
3564,"nm0000019"
3637,"nm0829038"
3781,"nm0000040"
6798,"nm0000005"
4796,"nm0533241"
6833,"nm0000697"
6288,"nm0000033"
664,"nm0753757"
4901,"nm0432846"
1676,"nm0001501"
5009,"nm0943758"
5032,"nm0947105"
5032,"nm0234893"
1018,"nm0112218"
5221,"nm0006452"
1627,"nm0635554"
2674,"nm0128715"
5468,"nm0000041"
5677,"nm0728688"
3862,"nm0000248"
491,"nm0906667"
5950,"nm0000581"
716,"nm0598102"
4594,"nm0549893"
4594,"nm0796923"
6356,"nm0727999"
6214,"nm0281507"
6259,"nm0347086"
6259,"nm0169294"
5007,"nm0645477"
6283,"nm0006249"
684,"nm0943758"
5034,"nm0229424"
5236,"nm0828419"
2383,"nm0720297"
5483,"nm0000406"
2761,"nm0505610"
2187,"nm0718106"
3596,"nm0000033"
5821,"nm0003593"
3691,"nm0001175"
763,"nm0133424"
4899,"nm0000076"
4145,"nm0001328"
6057,"nm0059106"
4742,"nm0000581"
4844,"nm0628149"
4898,"nm0859387"
6679,"nm0229424"
1796,"nm0290802"
4933,"nm0000078"
4948,"nm0000697"
2905,"nm0000774"
2909,"nm0000019"
2461,"nm0000339"
2612,"nm0006452"
6216,"nm0000005"
5664,"nm0000339"
5705,"nm0836328"
2912,"nm0000774"
3623,"nm0587277"
3975,"nm0167496"
4172,"nm0899581"
4807,"nm0002175"
4421,"nm0000076"
5862,"nm0044929"
4974,"nm0000041"
2944,"nm0720297"
876,"nm0001175"
5135,"nm0001466"
5136,"nm0002031"
5136,"nm0000078"
1284,"nm0042885"
5440,"nm0496746"
2770,"nm0006452"
2774,"nm0000076"
5593,"nm0001471"
5764,"nm0001379"
3664,"nm0314671"
3664,"nm0527217"
3664,"nm0718627"
3754,"nm0351947"
5861,"nm0842582"
4209,"nm0712540"
4620,"nm0001415"
6352,"nm0000005"
6513,"nm0000406"
6637,"nm0000320"
6720,"nm0730385"
6720,"nm0936404"
6883,"nm0000041"
4895,"nm0005789"
744,"nm0001239"
978,"nm0496746"
1140,"nm0889513"
1563,"nm0950109"
2472,"nm0000406"
2472,"nm0368871"
2472,"nm0550892"
2472,"nm0861703"
5678,"nm0002175"
5678,"nm0554249"
5678,"nm0652631"
5678,"nm0926919"
5678,"nm0953123"
5723,"nm0000406"
1198,"nm0936252"
2876,"nm0000591"
4133,"nm0001603"
4266,"nm0000041"
5419,"nm0849060"
6388,"nm0612322"
6729,"nm0000736"
5298,"nm0000320"
2906,"nm0000774"
83,"nm0712947"
83,"nm0337885"
83,"nm0554249"
89,"nm0000019"
5022,"nm0000033"
1564,"nm0000040"
2033,"nm0950109"
5646,"nm0899581"
2089,"nm0001905"
2486,"nm0728688"
2657,"nm0000697"
2707,"nm0149548"
3242,"nm0572132"
1219,"nm0000419"
6820,"nm0000005"
5891,"nm0001175"
6015,"nm0715346"
6051,"nm0521334"
4418,"nm0002087"
6129,"nm0718627"
6129,"nm0314671"
6129,"nm0359457"
2362,"nm0000041"
1276,"nm0491626"
6930,"nm0128050"
6116,"nm0653620"
2157,"nm0357891"
133,"nm0504513"
4886,"nm0003606"
1384,"nm0511837"
3205,"nm0000033"
3219,"nm0829038"
3206,"nm0001120"
3429,"nm0689659"
3674,"nm0793881"
6197,"nm0218840"
124,"nm0001466"
798,"nm0000878"
4356,"nm0001239"
6838,"nm0856267"
6150,"nm0554249"
6931,"nm0256831"
4060,"nm0000041"
346,"nm0000419"
4983,"nm0690597"
627,"nm0002175"
715,"nm0386973"
4319,"nm0617361"
1017,"nm0799033"
5122,"nm0422484"
5122,"nm0001603"
1507,"nm0000180"
1570,"nm0279807"
2669,"nm0769998"
1839,"nm0000540"
2776,"nm0000019"
5415,"nm0001175"
2327,"nm0414672"
2340,"nm0504513"
5465,"nm0542649"
5366,"nm0782704"
5366,"nm0857941"
5366,"nm0917751"
3322,"nm0229424"
1943,"nm0001466"
4105,"nm0000591"
4459,"nm0000320"
6085,"nm0368871"
6087,"nm0936404"
4884,"nm0829038"
6357,"nm0950109"
6172,"nm0001239"
6646,"nm0733476"
299,"nm0318150"
408,"nm0001789"
817,"nm0000774"
5399,"nm0001466"
5508,"nm0767022"
1291,"nm0000591"
6130,"nm0645477"
1828,"nm0402161"
5340,"nm0000697"
1979,"nm0208111"
5362,"nm0320833"
5290,"nm0320833"
2480,"nm0943758"
2832,"nm0301145"
3665,"nm0149548"
1153,"nm0579954"
3798,"nm0002137"
5820,"nm0729626"
6023,"nm0936404"
1313,"nm0161615"
4641,"nm0235066"
6267,"nm0198765"
6268,"nm0006615"
6268,"nm0001120"
6268,"nm0001596"
6268,"nm0744185"
6268,"nm0899581"
6421,"nm0000033"
4915,"nm0624809"
6621,"nm0002216"
4945,"nm0296532"
505,"nm0331453"
505,"nm0879853"
652,"nm0002045"
681,"nm0000320"
838,"nm0671957"
1226,"nm0742341"
2148,"nm0171562"
5241,"nm0000736"
1504,"nm0281507"
5268,"nm0469650"
5309,"nm0000591"
5403,"nm0001566"
2221,"nm0006452"
2565,"nm0112218"
4264,"nm0462030"
3394,"nm0000975"
3702,"nm0596850"
3881,"nm0000958"
3985,"nm0001928"
3846,"nm0065303"
3846,"nm0580897"
6510,"nm0002045"
6652,"nm0950109"
6890,"nm0318150"
6038,"nm0008906"
40,"nm0000040"
500,"nm0331453"
500,"nm0879853"
601,"nm0671862"
5050,"nm0281507"
938,"nm0946811"
1104,"nm0400731"
1224,"nm0796923"
1379,"nm0285302"
6296,"nm0218840"
1800,"nm0001023"
2048,"nm0943758"
5361,"nm0320833"
5417,"nm0179281"
6824,"nm0716262"
517,"nm0000972"
5827,"nm0757256"
3641,"nm0715346"
3865,"nm0769874"
5923,"nm0000316"
3955,"nm0145336"
4199,"nm0001874"
4211,"nm0000591"
5133,"nm0660886"
6155,"nm0422484"
6875,"nm0242945"
476,"nm0578483"
626,"nm0357891"
950,"nm0001351"
3654,"nm0001466"
1395,"nm0678101"
5553,"nm0818994"
1646,"nm0000454"
2335,"nm0000037"
2357,"nm0596850"
5112,"nm0728149"
5560,"nm0172772"
421,"nm0511278"
5692,"nm0829038"
3473,"nm0006445"
3134,"nm0496746"
3294,"nm0772259"
3644,"nm0402597"
6127,"nm0220227"
4076,"nm0859766"
4823,"nm0000095"
6313,"nm0001628"
6418,"nm0000033"
252,"nm0434443"
252,"nm0460033"
6512,"nm0796923"
5021,"nm0000783"
6572,"nm0201541"
6758,"nm0404606"
6909,"nm0002020"
287,"nm0780833"
287,"nm0368871"
406,"nm0297523"
686,"nm0692872"
710,"nm0000540"
1026,"nm0001566"
5146,"nm0000934"
5214,"nm0001596"
5101,"nm0000783"
5363,"nm0320833"
2126,"nm0563099"
2126,"nm0563100"
2126,"nm0959020"
2351,"nm0782381"
2651,"nm0677880"
5864,"nm5638280"
2756,"nm0312078"
2821,"nm0404606"
2983,"nm0512327"
3027,"nm0671957"
3129,"nm0000265"
147,"nm0799033"
5688,"nm0823630"
3516,"nm0724798"
3785,"nm0769874"
1535,"nm0218840"
5905,"nm0576529"
5920,"nm0000697"
3956,"nm0012646"
5956,"nm0420383"
6364,"nm0000184"
6420,"nm0281507"
6420,"nm0297935"
6420,"nm0557927"
6420,"nm0000041"
6463,"nm0000320"
6847,"nm0905579"
6911,"nm0000774"
1967,"nm0000783"
4904,"nm0297523"
4942,"nm0936404"
654,"nm0829038"
654,"nm0453832"
4992,"nm0796923"
721,"nm0792450"
721,"nm0000078"
114,"nm0000040"
1460,"nm0357891"
1485,"nm0796923"
1485,"nm0000142"
1737,"nm0852279"
1863,"nm0422484"
5347,"nm0001243"
2197,"nm0323443"
2285,"nm0000797"
2731,"nm0320833"
2875,"nm0001587"
5621,"nm0000953"
2959,"nm0441914"
2959,"nm0836328"
6310,"nm0005645"
3240,"nm0000265"
1388,"nm0899581"
5831,"nm0755963"
6655,"nm0467646"
3870,"nm0000142"
95,"nm0000878"
4333,"nm0281507"
4382,"nm0662953"
4452,"nm0874320"
3434,"nm0001501"
1666,"nm0423524"
6516,"nm0375494"
6606,"nm0764781"
6803,"nm0542702"
6805,"nm0835799"
6459,"nm0005645"
278,"nm0001348"
531,"nm0000697"
5025,"nm0001202"
5245,"nm0000320"
1213,"nm0496746"
2083,"nm0785877"
2026,"nm0000835"
5383,"nm0000338"
6134,"nm0002216"
5464,"nm0001321"
5464,"nm0957612"
2369,"nm0000142"
2431,"nm0554632"
2719,"nm0001628"
1903,"nm0516344"
2737,"nm0836328"
5614,"nm0000127"
3163,"nm0674135"
6245,"nm0000045"
3844,"nm0000691"
3869,"nm0006889"
5902,"nm0623768"
3926,"nm0748928"
3949,"nm0000860"
4190,"nm0000019"
5090,"nm0002175"
4278,"nm0412465"
6029,"nm0000694"
5510,"nm0280063"
4504,"nm0956052"
4539,"nm0001789"
6509,"nm0296532"
6527,"nm0000736"
6744,"nm0000953"
305,"nm0000694"
6683,"nm0284503"
365,"nm0000184"
5700,"nm0653620"
581,"nm0000517"
624,"nm0496746"
774,"nm0684719"
5061,"nm0432846"
5172,"nm0001681"
5207,"nm0003593"
1528,"nm0001676"
1716,"nm0167195"
6096,"nm0258977"
5292,"nm0001243"
3469,"nm0884547"
5608,"nm0000797"
3045,"nm0357891"
3084,"nm0418986"
3156,"nm0692872"
3248,"nm0000217"
1353,"nm0000076"
3751,"nm0000953"
3752,"nm0769874"
3776,"nm0001603"
4351,"nm0001486"
4586,"nm0281507"
6106,"nm0001351"
6348,"nm0903474"
2942,"nm0000934"
3656,"nm0857941"
6248,"nm0001628"
6721,"nm0000341"
6260,"nm0362736"
6914,"nm0000958"
289,"nm0806915"
304,"nm0000217"
355,"nm0490133"
1177,"nm0339538"
1177,"nm0883055"
302,"nm0001202"
5846,"nm0763587"
687,"nm0131995"
99,"nm0371883"
755,"nm0163706"
784,"nm0000316"
901,"nm0001603"
1253,"nm0166049"
1691,"nm0415333"
6770,"nm0757790"
5881,"nm0000320"
5389,"nm0381638"
2349,"nm0829038"
5481,"nm0423524"
2552,"nm0103756"
2618,"nm0198014"
2536,"nm0951731"
2978,"nm0002080"
5680,"nm0000736"
2115,"nm0917358"
5726,"nm0357891"
3373,"nm0000416"
3373,"nm0001402"
3431,"nm0001486"
5981,"nm0001175"
4666,"nm0000776"
6131,"nm0765121"
6142,"nm0001361"
6350,"nm0895804"
6360,"nm0001047"
6170,"nm0347086"
208,"nm0001023"
6897,"nm0000316"
608,"nm0000040"
101,"nm0428618"
1394,"nm0000860"
1508,"nm0001486"
6189,"nm0331453"
6189,"nm0879853"
5272,"nm0000142"
1693,"nm0316002"
1739,"nm0396421"
2000,"nm0001239"
2205,"nm0317487"
2205,"nm0563099"
2205,"nm0563100"
2205,"nm0583287"
2279,"nm0001353"
6031,"nm0162030"
2710,"nm0000229"
5602,"nm0175428"
3146,"nm0533334"
3502,"nm0000265"
3661,"nm0001232"
3729,"nm0003837"
3836,"nm0001837"
5865,"nm0000774"
1409,"nm0000783"
4885,"nm0023747"
6000,"nm0788940"
4189,"nm0422484"
4257,"nm0001596"
4417,"nm0000343"
6091,"nm0042849"
6105,"nm0285302"
6343,"nm0001628"
30,"nm0000934"
2586,"nm0651915"
330,"nm0001587"
6522,"nm0778633"
931,"nm0000570"
1001,"nm0000361"
1520,"nm0474651"
1264,"nm0005645"
5267,"nm0836328"
5280,"nm0267309"
1728,"nm0000186"
2053,"nm0373612"
1277,"nm0001603"
2685,"nm0356331"
2856,"nm0347086"
5660,"nm0004654"
3055,"nm0027183"
5718,"nm0001676"
3194,"nm0772259"
3301,"nm0806915"
3427,"nm0601800"
3523,"nm0001486"
5848,"nm0000142"
5893,"nm0001175"
4178,"nm0000814"
6063,"nm0796923"
4445,"nm0000915"
4457,"nm0002137"
4729,"nm0001348"
288,"nm0417054"
4939,"nm0000694"
428,"nm0000095"
769,"nm0001239"
102,"nm0000277"
5098,"nm0799033"
6086,"nm0954724"
4887,"nm0000320"
1149,"nm0000229"
1425,"nm0131910"
5262,"nm0000631"
1779,"nm0000958"
1779,"nm0657853"
1984,"nm0625379"
2044,"nm0467646"
192,"nm0778633"
5977,"nm0452102"
2363,"nm0000316"
2452,"nm0541244"
5145,"nm0754691"
5559,"nm0852279"
5733,"nm0522028"
5733,"nm0718627"
5733,"nm0789313"
3537,"nm0000217"
3820,"nm0149548"
3820,"nm0089940"
3971,"nm1000159"
3971,"nm0278447"
4038,"nm0353569"
4276,"nm0000824"
2069,"nm0628838"
2069,"nm0005033"
2069,"nm0477035"
4463,"nm0910737"
2049,"nm0796073"
4516,"nm0624102"
4541,"nm0000682"
4570,"nm0001243"
6099,"nm0318150"
4787,"nm0000783"
633,"nm0171619"
633,"nm0505420"
5018,"nm0935382"
5063,"nm0769874"
2001,"nm0496312"
981,"nm0001382"
1192,"nm0000341"
1223,"nm0001603"
1316,"nm0852279"
1316,"nm0388198"
1360,"nm0000517"
1391,"nm0347086"
5220,"nm0001047"
5258,"nm0001353"
1692,"nm0504641"
1755,"nm0267309"
1952,"nm0357891"
5354,"nm0000361"
2054,"nm0334768"
2194,"nm0459170"
3035,"nm0146351"
6765,"nm0788243"
2631,"nm0000095"
2647,"nm0442241"
2711,"nm0844358"
6311,"nm0526971"
5683,"nm0000835"
3153,"nm0000277"
3213,"nm0001681"
3295,"nm0000570"
3732,"nm0344875"
645,"nm0381228"
3783,"nm0002207"
3848,"nm0001102"
3929,"nm0001501"
4126,"nm0001175"
4897,"nm0514906"
4521,"nm0950759"
340,"nm0305054"
6687,"nm0742034"
6687,"nm0399524"
6264,"nm0572132"
6270,"nm0001486"
32,"nm0000229"
307,"nm0000631"
448,"nm0000338"
6164,"nm0772522"
879,"nm0946811"
2002,"nm0496312"
975,"nm0219959"
5113,"nm0108745"
5193,"nm0004616"
5193,"nm0001361"
1733,"nm0796923"
1919,"nm0401788"
2152,"nm0000976"
5418,"nm0000341"
2533,"nm0956953"
5564,"nm0005348"
2891,"nm0000914"
3005,"nm0001402"
3138,"nm0004306"
3182,"nm0000095"
3249,"nm0718645"
3379,"nm0318150"
5780,"nm0292419"
3593,"nm0728688"
3599,"nm0001348"
31,"nm0468002"
3823,"nm0181741"
3980,"nm0734466"
4180,"nm0000230"
4661,"nm0936404"
4876,"nm0000591"
6369,"nm0583292"
6750,"nm0910510"
1613,"nm0950759"
286,"nm0000720"
286,"nm0001878"
286,"nm0958387"
336,"nm0853546"
347,"nm0001692"
364,"nm0001707"
443,"nm0887174"
515,"nm0207357"
1100,"nm0689392"
5016,"nm0002087"
6136,"nm0144689"
6136,"nm0595063"
5026,"nm0002086"
5037,"nm0000484"
914,"nm0000142"
921,"nm0742341"
960,"nm0000601"
1165,"nm0000776"
1282,"nm0001243"
1397,"nm0707597"
5618,"nm0000076"
1468,"nm0113054"
1597,"nm0000361"
5274,"nm0000186"
1813,"nm0000570"
1829,"nm0661345"
1829,"nm0897715"
5314,"nm0852279"
5331,"nm0000118"
2012,"nm0192446"
6639,"nm0297935"
5384,"nm0371059"
2321,"nm0001047"
5675,"nm0001353"
3390,"nm0175428"
3909,"nm0000265"
3957,"nm0528420"
4012,"nm0000217"
4293,"nm0000343"
6297,"nm0000329"
6061,"nm0000040"
4517,"nm0624102"
4557,"nm0844358"
6201,"nm0956022"
4667,"nm0000095"
4696,"nm0001627"
6114,"nm0750701"
4772,"nm0504513"
4864,"nm0357807"
6370,"nm0000416"
6579,"nm0000709"
385,"nm0568546"
482,"nm0330619"
126,"nm0006445"
796,"nm0024658"
796,"nm0024659"
815,"nm0000361"
1345,"nm0000583"
5094,"nm0624102"
1057,"nm0399853"
1109,"nm0248942"
1133,"nm0204471"
1364,"nm0792446"
1401,"nm0935382"
1593,"nm0730422"
5004,"nm0002086"
1735,"nm0000118"
1769,"nm0000958"
5307,"nm0080601"
1948,"nm0322515"
5346,"nm0075859"
5346,"nm0723704"
5346,"nm0828245"
5346,"nm0359457"
5346,"nm0718627"
2013,"nm0591171"
705,"nm0346640"
3991,"nm0000269"
2249,"nm0742819"
2385,"nm0000316"
2438,"nm0203246"
3443,"nm0586198"
3450,"nm0001501"
3557,"nm0400731"
3562,"nm0540330"
3562,"nm0625379"
3562,"nm0000230"
3606,"nm0068871"
3719,"nm0001382"
3851,"nm0000116"
3851,"nm0039890"
3851,"nm0236973"
5906,"nm0706182"
3947,"nm0002887"
3947,"nm0267309"
5492,"nm0002086"
4013,"nm0000229"
4082,"nm0000886"
4726,"nm0718645"
6126,"nm0476993"
4841,"nm0000887"
6836,"nm0905579"
77,"nm0001353"
284,"nm0277946"
380,"nm0198765"
4988,"nm0181741"
776,"nm0000631"
5863,"nm0684509"
1019,"nm0001707"
3948,"nm0707264"
1135,"nm0504495"
5194,"nm0001345"
5194,"nm0000568"
5254,"nm0000425"
1635,"nm0000229"
5288,"nm0000600"
1764,"nm0357891"
1837,"nm0002132"
1889,"nm0000142"
1895,"nm0467646"
1905,"nm0001348"
2071,"nm0000277"
5360,"nm0320833"
2195,"nm0083279"
5630,"nm0060072"
5630,"nm0710230"
2777,"nm0049617"
151,"nm0000095"
