"id","genres"
158,"Mystery"
159,"Comedy"
159,"Crime"
159,"Romance"
160,"Horror"
161,"Fantasy"
161,"Horror"
162,"Horror"
163,"Fantasy"
163,"Horror"
164,"Comedy"
165,"Adventure"
165,"Drama"
165,"History"
166,"Drama"
167,"Drama"
167,"Romance"
168,"Drama"
168,"Mystery"
168,"Thriller"
169,"Crime"
169,"Drama"
169,"Thriller"
170,"Crime"
170,"Drama"
170,"Thriller"
171,"Comedy"
171,"Drama"
171,"Fantasy"
172,"Drama"
172,"Romance"
173,"Comedy"
173,"Drama"
173,"Music"
174,"Crime"
174,"Drama"
175,"Drama"
176,"Drama"
177,"Drama"
177,"Romance"
178,"Biography"
178,"Drama"
178,"History"
179,"Comedy"
179,"Drama"
179,"Romance"
180,"Animation"
180,"Comedy"
180,"Crime"
181,"Drama"
182,"Horror"
182,"Mystery"
182,"Thriller"
183,"Comedy"
183,"Drama"
184,"Crime"
184,"Drama"
185,"Drama"
185,"Romance"
186,"Mystery"
186,"Thriller"
187,"Crime"
187,"Drama"
187,"Thriller"
188,"Crime"
188,"Drama"
188,"Romance"
189,"Crime"
189,"Drama"
189,"Thriller"
190,"Crime"
190,"Drama"
190,"Mystery"
191,"Action"
191,"Adventure"
191,"Horror"
192,"Drama"
193,"Adult"
194,"Drama"
195,"Drama"
195,"Horror"
195,"Mystery"
196,"Crime"
196,"Drama"
196,"Thriller"
197,"Musical"
198,"Adventure"
198,"Animation"
198,"Family"
199,"Comedy"
200,"Adventure"
200,"Comedy"
201,"Drama"
201,"Mystery"
201,"Romance"
202,"Action"
202,"Adventure"
202,"Thriller"
203,"Action"
203,"Crime"
203,"Drama"
204,"Drama"
204,"Romance"
205,"Drama"
206,"Drama"
206,"Romance"
207,"Comedy"
207,"Drama"
208,"Drama"
208,"Romance"
209,"Adventure"
209,"Drama"
209,"Family"
210,"Comedy"
211,"Adventure"
211,"Drama"
211,"Sci-Fi"
212,"Drama"
212,"Mystery"
212,"Romance"
213,"Drama"
214,"Horror"
214,"Mystery"
214,"Thriller"
215,"Comedy"
215,"Family"
215,"Fantasy"
216,"Drama"
216,"Thriller"
217,"Horror"
217,"Thriller"
218,"Horror"
219,"Horror"
220,"Drama"
221,"Drama"
222,"Documentary"
223,"Drama"
224,"Drama"
225,"Drama"
225,"Thriller"
226,"Action"
226,"Crime"
226,"Drama"
227,"Crime"
227,"Drama"
227,"Sport"
228,"Action"
228,"Fantasy"
228,"Horror"
229,"Drama"
229,"Horror"
229,"Mystery"
230,"Action"
230,"Crime"
230,"Drama"
231,"Comedy"
231,"Sci-Fi"
232,"Comedy"
232,"Crime"
233,"Thriller"
234,"Comedy"
235,"Drama"
235,"Film-Noir"
236,"Comedy"
237,"Adventure"
237,"Comedy"
237,"Crime"
238,"Horror"
238,"Thriller"
239,"Drama"
239,"Fantasy"
239,"History"
240,"Action"
240,"Adventure"
240,"Thriller"
241,"Action"
241,"Crime"
241,"Thriller"
242,"Crime"
242,"Drama"
242,"Thriller"
243,"Musical"
244,"Comedy"
244,"Crime"
244,"Drama"
245,"Drama"
246,"Comedy"
246,"Drama"
247,"Comedy"
247,"Fantasy"
248,"Drama"
248,"Mystery"
248,"Romance"
249,"Adult"
249,"Thriller"
250,"Comedy"
250,"Drama"
250,"Romance"
251,"Drama"
251,"Romance"
252,"Drama"
253,"Comedy"
253,"Drama"
254,NA
255,"Comedy"
255,"Drama"
255,"Romance"
256,"Adventure"
256,"Comedy"
256,"Crime"
257,"Action"
257,"Adventure"
257,"Sci-Fi"
258,"Drama"
259,"Adventure"
259,"Documentary"
260,"Drama"
261,"Action"
261,"Adventure"
261,"Sci-Fi"
262,"Comedy"
262,"Crime"
262,"Drama"
263,"Drama"
263,"Fantasy"
264,"Documentary"
265,"Comedy"
265,"Drama"
265,"Romance"
266,"Drama"
266,"Fantasy"
266,"Mystery"
267,"Action"
267,"Comedy"
267,"Crime"
268,"Drama"
269,"Drama"
269,"Romance"
270,"Drama"
270,"Mystery"
270,"Thriller"
271,"Drama"
271,"Horror"
271,"Mystery"
272,"Drama"
272,"History"
273,"Action"
273,"Adventure"
273,"Drama"
274,"Action"
274,"Adventure"
274,"Fantasy"
275,"Action"
275,"Adventure"
275,"Comedy"
276,"Action"
276,"Adventure"
276,"Comedy"
277,"Drama"
278,"Action"
278,"Adventure"
278,"Biography"
279,"Action"
279,"Adventure"
279,"Crime"
280,"Action"
280,"Comedy"
280,"War"
281,"Comedy"
281,"Drama"
281,"Family"
282,"Action"
282,"Crime"
282,"Drama"
283,"Comedy"
283,"Crime"
283,"Music"
284,"Comedy"
284,"Sci-Fi"
285,"Comedy"
285,"Drama"
285,"Romance"
286,"Comedy"
287,"Action"
287,"Drama"
287,"Thriller"
288,"Action"
288,"Drama"
288,"Thriller"
289,"Action"
289,"Drama"
289,"Thriller"
290,"Drama"
290,"Family"
291,"Action"
291,"Animation"
291,"Drama"
292,"Adventure"
292,"Animation"
292,"Comedy"
293,"Drama"
293,"Romance"
294,"Crime"
294,"Drama"
294,"Thriller"
295,"Comedy"
295,"Romance"
296,"Action"
296,"Crime"
296,"Mystery"
297,"Drama"
298,"Comedy"
298,"Drama"
298,"Family"
299,"Comedy"
299,"Drama"
300,"Drama"
301,"Comedy"
302,"Drama"
302,"Romance"
303,"Crime"
303,"Drama"
303,"Thriller"
304,"Drama"
304,"Romance"
305,"Drama"
306,"Adventure"
306,"Family"
306,"Fantasy"
307,"Horror"
307,"Sci-Fi"
308,"Action"
308,"Adventure"
308,"Sci-Fi"
309,"Action"
309,"Sci-Fi"
310,"Action"
310,"Horror"
310,"Sci-Fi"
311,"Action"
311,"Adventure"
311,"Sci-Fi"
312,"Adventure"
312,"Comedy"
312,"Family"
313,"Action"
313,"Adventure"
313,"Sci-Fi"
314,"Comedy"
314,"Drama"
314,"Musical"
315,"Drama"
316,"Comedy"
316,"Drama"
316,"Romance"
317,"Comedy"
