"nconst","primaryName","knownForTitles"
"nm0000096","Gillian Anderson","tt0106179,tt2294189,tt0455590,tt0442632"
"nm0000098","Jennifer Aniston","tt0108778,tt3442006,tt1723121,tt0279113"
"nm0000099","Patricia Arquette","tt0108399,tt1065073,tt0412175,tt0145531"
"nm0000100","Rowan Atkinson","tt0274166,tt1634122,tt0110357,tt0118689"
"nm0000101","Dan Aykroyd","tt0087332,tt0118747,tt0102558,tt0080455"
"nm0000102","Kevin Bacon","tt0087277,tt0164052,tt0361127,tt0327056"
"nm0000103","Fairuza Balk","tt0115963,tt0181875,tt0089908,tt0120586"
"nm0000104","Antonio Banderas","tt0120746,tt1189073,tt0120657,tt0112851"
"nm0000106","Drew Barrymore","tt0160127,tt0151738,tt0343660,tt0120631"
"nm0000107","Kim Basinger","tt0119488,tt0096895,tt0337921,tt0108525"
"nm0000108","Luc Besson","tt0119116,tt0110413,tt2872732,tt0100263"
"nm0000110","Kenneth Branagh","tt0097499,tt0116477,tt0107616,tt3402236"
"nm0000111","Matthew Broderick","tt0395251,tt0086567,tt0091042,tt0115798"
"nm0000112","Pierce Brosnan","tt0795421,tt0143145,tt0120347,tt0155267"
"nm0000113","Sandra Bullock","tt1041829,tt0212346,tt0111257,tt1454468"
"nm0000114","Steve Buscemi","tt0116282,tt0162346,tt0105236,tt4686844"
"nm0000115","Nicolas Cage","tt0119094,tt0113627,tt0117500,tt0435705"
"nm0000116","James Cameron","tt1630029,tt0499549,tt0090605,tt0120338"
"nm0000117","Neve Campbell","tt0117571,tt0120082,tt0134084,tt0120890"
"nm0000118","John Carpenter","tt0080749,tt0077651,tt0069945,tt0082340"
"nm0000119","Tia Carrere","tt0105793,tt0275847,tt0207919,tt0111503"
"nm0000120","Jim Carrey","tt0109040,tt0110475,tt0338013,tt0315327"
"nm0000122","Charles Chaplin","tt0032553,tt0027977,tt0044837,tt0021749"
"nm0000123","George Clooney","tt1124035,tt0465538,tt1193138,tt2177771"
"nm0000124","Jennifer Connelly","tt0268978,tt0315983,tt0286716,tt0180093"
"nm0000125","Sean Connery","tt0117500,tt0055928,tt0094226,tt0091605"
"nm0000126","Kevin Costner","tt0119925,tt0099348,tt0102798,tt0103855"
"nm0000127","Wes Craven","tt0087800,tt0117571,tt0111686,tt0105121"
"nm0000128","Russell Crowe","tt1707386,tt0172495,tt0268978,tt0119488"
"nm0000129","Tom Cruise","tt0092099,tt0325710,tt0116695,tt0181689"
"nm0000130","Jamie Lee Curtis","tt1502407,tt6710474,tt0111503,tt0120694"
"nm0000131","John Cusack","tt0119229,tt0146882,tt0098258,tt0450385"
"nm0000132","Claire Danes","tt0108872,tt1796960,tt0117509,tt0274558"
"nm0000133","Geena Davis","tt0103074,tt0116908,tt0104694,tt0091064"
"nm0000134","Robert De Niro","tt0101540,tt0081398,tt0077416,tt0075314"
"nm0000135","John Denver","tt0120591,tt0076489,tt4649466,tt0299328"
"nm0000136","Johnny Depp","tt0325980,tt0408236,tt0449088,tt0367594"
"nm0000137","Bo Derek","tt0086987,tt0099656,tt0114694,tt0083170"
"nm0000138","Leonardo DiCaprio","tt1375666,tt0120338,tt0407887,tt0993846"
"nm0000139","Cameron Diaz","tt0259711,tt0129387,tt0160127,tt0119738"
"nm0000140","Michael Douglas","tt0094291,tt1291580,tt0088011,tt0093010"
"nm0000141","David Duchovny","tt0106179,tt0120902,tt0904208,tt0443701"
"nm0000142","Clint Eastwood","tt0405159,tt1205489,tt0105695,tt0112579"
"nm0000143","Erika Eleniak","tt0105690,tt0083866,tt0094761,tt0106400"
"nm0000144","Cary Elwes","tt0387564,tt0093779,tt0107977,tt0119468"
"nm0000145","Sherilyn Fenn","tt0105046,tt0100935,tt0098936,tt0106471"
"nm0000146","Ralph Fiennes","tt0387131,tt2278388,tt0108052,tt1201607"
"nm0000147","Colin Firth","tt1315981,tt1504320,tt2802144,tt0243155"
"nm0000148","Harrison Ford","tt0082971,tt0106977,tt0076759,tt0090329"
"nm0000149","Jodie Foster","tt0102926,tt0476964,tt0075314,tt0118884"
"nm0000150","Michael J. Fox","tt0088763,tt0096874,tt0115369,tt0116365"
"nm0000151","Morgan Freeman","tt0114369,tt0097239,tt0405159,tt0468569"
"nm0000152","Richard Gere","tt0299658,tt0100405,tt0084434,tt0119395"
"nm0000153","Gina Gershon","tt0115736,tt1726669,tt0114436,tt0431308"
"nm0000154","Mel Gibson","tt0112573,tt0104714,tt0118883,tt0117438"
"nm0000155","Whoopi Goldberg","tt0099653,tt0105417,tt0088939,tt0108147"
"nm0000156","Jeff Goldblum","tt0107290,tt0091064,tt2278388,tt0116629"
"nm0000157","Linda Hamilton","tt0103064,tt6450804,tt0088247,tt0118928"
"nm0000158","Tom Hanks","tt0162222,tt0094737,tt0109830,tt0107818"
"nm0000159","Teri Hatcher","tt0120347,tt0410975,tt0327597,tt0227538"
"nm0000160","Ethan Hawke","tt0139654,tt0112471,tt2209418,tt0381681"
"nm0000161","Salma Hayek","tt0120679,tt0112851,tt1615065,tt0120891"
"nm0000162","Anne Heche","tt0120828,tt0119008,tt0120885,tt0120461"
"nm0000163","Dustin Hoffman","tt0084805,tt0095953,tt0079417,tt0064665"
"nm0000164","Anthony Hopkins","tt0102926,tt0113987,tt0975645,tt0412080"
"nm0000165","Ron Howard","tt0367279,tt0075213,tt0268978,tt0112384"
"nm0000166","Helen Hunt","tt0119822,tt0117998,tt0103484,tt0455805"
"nm0000167","Elizabeth Hurley","tt0118655,tt0230030,tt0145660,tt0105104"
"nm0000168","Samuel L. Jackson","tt0110912,tt3460252,tt0417148,tt4154664"
"nm0000169","Tommy Lee Jones","tt0106977,tt0477348,tt2398231,tt0443272"
"nm0000170","Milla Jovovich","tt0119116,tt1220634,tt0120804,tt1220198"
"nm0000171","Ashley Judd","tt0150377,tt0470705,tt0119468,tt0352277"
"nm0000172","Harvey Keitel","tt0105236,tt0103759,tt2278388,tt0110912"
"nm0000173","Nicole Kidman","tt0203009,tt0274558,tt0159365,tt0935075"
"nm0000174","Val Kilmer","tt0101761,tt0120053,tt0373469,tt0235737"
"nm0000175","Stephen King","tt0091499,tt0083767,tt0111161,tt0324864"
"nm0000177","Kevin Kline","tt0120891,tt0095159,tt0106673,tt0113117"
"nm0000178","Diane Lane","tt0250797,tt0328589,tt0086066,tt2096673"
"nm0000179","Jude Law","tt0134119,tt0376541,tt2278388,tt0346156"
"nm0000180","David Lean","tt0056172,tt0059113,tt0050212,tt0038574"
"nm0000181","Heather Locklear","tt0103491,tt0380623,tt0098193,tt0119695"
"nm0000182","Jennifer Lopez","tt5503686,tt2126357,tt0120780,tt0252076"
"nm0000183","Traci Lords","tt0099329,tt1984153,tt0120611,tt1007028"
"nm0000184","George Lucas","tt0076759,tt0066434,tt0069704,tt0082971"
"nm0000185","Dolph Lundgren","tt0089927,tt0098141,tt0093507,tt0105698"
"nm0000186","David Lynch","tt0098936,tt0460829,tt0105665,tt0166924"
"nm0000187","Madonna","tt0104694,tt0116250,tt0089017,tt0156841"
"nm0000188","Steve Martin","tt0093886,tt0079367,tt0102250,tt0383216"
"nm0000189","Jenny McCarthy-Wahlberg","tt0327643,tt0455967,tt0134084,tt0131857"
"nm0000190","Matthew McConaughey","tt0816692,tt0790636,tt1935179,tt1915581"
"nm0000191","Ewan McGregor","tt0203009,tt0117951,tt1322269,tt2763304"
"nm0000193","Demi Moore","tt0119173,tt0305357,tt0099653,tt0107211"
"nm0000194","Julianne Moore","tt0297884,tt0118749,tt3316960,tt0842926"
"nm0000195","Bill Murray","tt0335266,tt0128445,tt1748122,tt0362270"
"nm0000196","Mike Myers","tt0295178,tt0145660,tt0118655,tt0811138"
