"nconst","id","tconst.x","primaryTitle","isAdult","rel_date","startYear","genres","tconst.y","category","primaryName","knownForTitles"
"nm0498278",2660,"tt1228705","Iron Man 2","0","2010-04-28","2010","Action,Sci-Fi","tt1228705","writer","Stan Lee","tt2250912,tt1825683,tt1211837,tt3896198"
"nm0508732",2659,"tt0371746","Iron Man","0","2008-04-30","2008","Action,Adventure,Sci-Fi","tt0371746","cinematographer","Matthew Libatique","tt0947798,tt0138704,tt0180093,tt1517451"
"nm0508732",2660,"tt1228705","Iron Man 2","0","2010-04-28","2010","Action,Sci-Fi","tt1228705","cinematographer","Matthew Libatique","tt0947798,tt0138704,tt0180093,tt1517451"
"nm0615531",4879,"tt0096251","Tetsuo: The Iron Man","0","1989-07-01","1989","Horror,Sci-Fi","tt0096251","actor","Naomasa Musaka","tt0363226,tt0096251,tt0439817,tt1360091"
"nm0669362",2660,"tt1228705","Iron Man 2","0","2010-04-28","2010","Action,Sci-Fi","tt1228705","editor","Richard Pearson","tt0475276,tt0830515,tt0120912,tt0327850"
"nm0728951",2659,"tt0371746","Iron Man","0","2008-04-30","2008","Action,Adventure,Sci-Fi","tt0371746","production_designer","J. Michael Riva","tt0371746,tt1853728,tt0088939,tt0382992"
"nm0728951",2660,"tt1228705","Iron Man 2","0","2010-04-28","2010","Action,Sci-Fi","tt1228705","production_designer","J. Michael Riva","tt0371746,tt1853728,tt0088939,tt0382992"
"nm0788009",2660,"tt1228705","Iron Man 2","0","2010-04-28","2010","Action,Sci-Fi","tt1228705","actor","Garry Shandling","tt0103466,tt0090459,tt1843866,tt1228705"
"nm0805476",2660,"tt1228705","Iron Man 2","0","2010-04-28","2010","Action,Sci-Fi","tt1228705","actor","John Slattery","tt1895587,tt1385826,tt0478970,tt3498820"
"nm0810488",2659,"tt0371746","Iron Man","0","2008-04-30","2008","Action,Adventure,Sci-Fi","tt0371746","actor","Bill Smitrovich","tt0210714,tt0090410,tt0118571,tt1637725"
"nm0846630",4879,"tt0096251","Tetsuo: The Iron Man","0","1989-07-01","1989","Horror,Sci-Fi","tt0096251","actor","Tomorô Taguchi","tt0096251,tt0116015,tt0439621,tt0120315"
"nm0846687",2659,"tt0371746","Iron Man","0","2008-04-30","2008","Action,Adventure,Sci-Fi","tt0371746","actor","Faran Tahir","tt0371746,tt0796366,tt23793170,tt1211956"
"nm0857620",2660,"tt1228705","Iron Man 2","0","2010-04-28","2010","Action,Sci-Fi","tt1228705","writer","Justin Theroux","tt0166924,tt1240982,tt0144084,tt3631112"
"nm0869467",2659,"tt0371746","Iron Man","0","2008-04-30","2008","Action,Adventure,Sci-Fi","tt0371746","actor","Shaun Toub","tt10577736,tt1233205,tt0375679,tt0419887"
